sent	label
Can you tell me a software for windows laptop which has following features 1. Data feeding with due dates, reminders 2. One click pending task lists; in addition these will help me more i.e. sharing task either thru mails or on lan. These were the essential features which I require.	Not Found
Meeting Reminder Date: November 10, 2016 Time: 6 00 PM Meeting with: raja Venue: library	Not Found
Also put 1 more reminder - Pay 6000 to sajid	Pay 6000 to sajid
Remaind me November 10th 2016 at 10am	Not Found
Can you please tell me what reminders are set for me ?	what reminders are set for me
Remind me to cover the whole topic of civil	Not Found
Please set reminders from 6 PM to 3 AM	Not Found
9011523330	Not Found
reminder at 6.30 am and 6.35 am today	Not Found
you were supposed to remind me yesterday 8 pm	Not Found
Set an alarm every morning at 8am?	Not Found
Hey please remind me to leave office by 4	leave office
28th night remind	Not Found
Thanks for your reminds	Not Found
remind me on 17th to go for voter id on 18th nov	go for voter id on 18th
Ok lets set up wat to do list	Not Found
Should I switch on my net for reminder	Should I switch
Remind me one day before	Not Found
Can u remind me on 1.55pm	Not Found
Reminder to set	Not Found
Remind me book a fight ticket(Dubai to chennai) before Wednesday	chennai)
I want reminder	Not Found
Remind me to fill the RBI form on 23rd at 8pm	fill the RBI form
Can u make a call for me?	Not Found
Hi... I want to edit my reminder	Not Found
Can u get a call half n hr before	Not Found
Will something remind me to eat time to time	eat time
is it possible to schedule on every sunday??	possible to schedule
What reminder is this???	What reminder
Want a everyday reminder at 3.00 P.M and at 8.00 P.M to massage pressure points on body.	massage pressure points on body
Remind me my darlings birthday which is on July 29	my darlings birthday which
Reminded me for 1102 flat painting with krishna	1102 flat painting with krishna
Remind me to buy apples in 5 minutes	buy apples
Remind to transfer money in Karnataka bank	transfer money in Karnataka bank
How to delete this remainder	delete
Schedule those from tomorrow	Schedule those
Remind me to wish Paushali on her birthday -25th Dec	wish Paushali on her birthday -25th Dec
I'm sure is that day so remind me to find out the exact date tomorrow	find out the exact date
Is this one day reminder or everyday reminder?	Not Found
Please remind me tomorrow at 10:45 am to check if Mr.NP Acharya's cheque book has been sent back to the branch.	check if Mr.NP Acharya's cheque book and been sent back to the branch
Remind me to take dark chocolate to office	take dark chocolate
Egg reminder	Not Found
I want to set up alarm ....2 min baad kaa	set up alarm
Time to make your to-do list shorter, Alex! TASK - Cam and Bill payment reminder today at 2 pm	- Cam and Bill payment reminder
Remind me to issue cheque on 5th Dec for credit card payment	issue cheque and credit card payment
Can you set up a reminder for me?	Not Found
Remind me to study forum ias tomorrow 8pm	study forum ias
Remind me to take my stethoscope at 12:30pm today	take my stethoscope
Sorry send by mistakenly	Not Found
Supermoon reminder tonight	Not Found
I would like to set a reminder	Not Found
remind me this for booking... mention it's for booking	booking... mention it's for booking
Remind me i have a movie show booked for ten pm on Wednesday. Remind me at 2 pm and six pm on Wednesday 4th jan	movie show booked
Plz set a reminder on 9th Nov 16 regarding mom's blood test 5pm & 10th Nov 16 9:30 am for the same.. Thanks	Not Found
Remind me at 9:40 to book my train ticket	book my train ticket
Pls remind me to take photographs and cheque leaf today evening by 8pm.	take photographs and cheque leaf
Can you integrate my calendar with reminders	Not Found
Remind about narration to be given to and company on 10th dec at airoli	narration to be given to and company on 10th dec
Yes , that means after one hour remind you	means
U need internet connection for reminder	internet connection for reminder
Hi. I want to set up a reminder	Not Found
please infrom me about cricket match at 2 pm	cricket match
I want to set an reminder of 8.45pm daily to pick my charger	pick my charger
Can u remind me of my classes	my classes
do call me in d morning at 6.10am	Not Found
Set at 7:20 and 7:30 pm today	Not Found
Can you schedule the alarm every day?	Not Found
Remind me for movie 2 pm	movie
What was the reminder set for at this time?	Not Found
How will you remind me???	How
Reminder only in working days pls	Not Found
u called me tdy kya	Not Found
hi please set a consecutive reminder as on 6 AM, 6:30 AM & 7 AM 14th november 2016	Not Found
Remind me to remove the milk from the heat after 10 minutes	remove the milk
Sincere thanks for continuous reminder	Not Found
Reminder of lic policy	lic policy
Kindly remind me on 30th Nov	Not Found
You can close the reminders hence forth	Not Found
Thank you for remind me at early morning	Not Found
Remind me to wash my hair this evening at around 7:30 p.m., please.	wash my hair
Remind me at 11:30 am for connection of telephone	connection of telephone
Hey remind me at 1 pm to check white jigar bag	check white jigar bag
Re. Schedule the alarm at 8 am daily	Schedule the alarm
Remind me 2 times. Once at 9 AM n again at 6 PM	Not Found
Remind me to do the reports.	do the reports
Also remind me about the bank work tomorrow morning at 9:15 am	the bank work
Remind me to check with bikash on indus ind bank	check with bikash on indus ind bank
Remind me to book tickets on 25 January for 25 may at 9 am	book tickets
I want to set one more reminder	Not Found
Please call me in gap of 3 hours	Not Found
Remind at 5.30 pm today to email Kshitij medical cards	email Kshitij medical cards
Remind me today at 5.45 pm to meet engineering works	meet engineering works
Set the reminder for 6 P.M	Not Found
Same reminder at 5.10 pm tomm.	Not Found
Remind me tomarrow morning 9:30am to collect my bag to office	collect my bag
I haven't set any reminder	Not Found
Tell me about yourself	yourself
Can u set me a reminder?	Not Found
Thanks for asking	Not Found
Remind me aftr 2 hrs	Not Found
Set me a remainder at 1:30 pm today	Not Found
Pls remind me	Not Found
Reminder for shopping on mantra at 8:30 pm	shopping on mantra
Plz remind m tom mrng for dr appointmnt and car service	dr appointmnt and car service
In Transit: Just a reminder that your product ayeshafashion Twin Pew... with order id OD507673407676070000 is on its way and will reach you by Tuesday, 29 Nov'16. Track your order here http://fkrt.it/8ZtckTuuuN	product ayeshafashion Twin Pew... with order id OD507673407676070000 and Track your order here http://fkrt.it/8ZtckTuuuN
Remind me about it at 6pm today	it
Also remind me on coming monday that i have meeting with jukaso manager at 11 am	meeting with jukaso manager
Plz set a reminder for me at 10 PM today for management hours	management hours
Can u remind me 9 to 12 midnught	Not Found
Reminder for 940 pm today to get milk	get milk
Remind me to ask akhil sir about one time cost excell sheet about renovation of office to be send to VG Sir	ask akhil sir about one time cost excell sheet about renovation of office to be send to VG Sir
Pls repaet of this reminder on 5 pm today	Not Found
I need to get a sound notification also to draw my attention to the reminder	get a sound
Alarm pls	Not Found
Remind me For the Same On 5	the Same
Have u checked that about abacus classes..	Have u checked that about abacus classes
And if i donot repond, Can you please call twice?	Not Found
Change reminder timing	Not Found
Please remind to take t-shirt on 5th Jan at 7:55 am	take t-shirt on 5th Jan
Remind me to take books	take books
But you haven't reminded me	Not Found
Plz notify me by calling me	calling me
Call me at 5:50 pm today	Call me
Meeting Reminder Date: November 23, 2016 Time: 8 15 AM Meeting with: C b	Not Found
Set reminder for me	Not Found
Morning remember me at 8.am i should go to swamy home and get fittings 10/11/2016	go to swamy home and get fittings 10/11/2016
Remind me each hour	Not Found
Remind me about cheque payment	cheque payment
Remind me to meet hi top 4 touch doctor on 6th January morning 5 am	meet hi
You can remind to my friend?	Not Found
Remind me about jesah's birthday on 24 November	jesah's birthday
Tanu birthday on 14th May...Please remind me every year	Tanu birthday
nd give me meeting reminder also today i wanna go meet my my gf at 3 :30 pm	meeting and go meet my my gf
Now I am watching movie so remind me after 3.30pm	watching movie
Give a reminder after 20 min plz	Give a reminder
Thanks fr ur reminders	Not Found
Name: श्रीkant राthi Date: 21-06-2017 Time: 11.50 PM	Not Found
Please set an alarm at 3:00 pm today.	Not Found
Give me a call at 9:30 for whizible	Give me a call and whizible
5 o'clock in the evening i would like to take photos..... So plz reminder me	take photos
One more task schedule please	Not Found
Now when i get reminder	Not Found
Hi please set a reminder	Not Found
Thanks suman for the reminder	Not Found
Kindly remind me to book return ticket for holi	book return ticket for holi
Reminder for samples in tomorrow morning 9 am	samples
And then remind me for college at 2:30	college
Remind me to Read sohels article	Read sohels article
Can you schedule it from 10:00 am to 10:00 pm.	Not Found
Remind me dentist appointment	dentist appointment
Give me a reminder tomm at 12 pm fr a meeting at airoli	meeting
Remind me to go for driving school at 8:50 am	go for driving school
Call to professional courier at 11 am	Call to professional courier
Remind me about pan tomorrow @9.30am	pan
N set 10 days reminder in December also	Not Found
Pls reschedule this reminder for every 2hrs.	Not Found
Yes please remind me :)	Not Found
Have you set reminder	Not Found
Hi... I have to go for a meeting on 16th of this month early morning... need a reminder for the same on 15th	go for a meeting
Also can you schedule the same at 11.30 as well	Not Found
The reminders werent times properly.	Not Found
I want to change my alarm tune	change my alarm tune
Remind me to go to Library at 7 am today.	go to Library
Can you set this to do for daily?	do for daily
Hey can you change the timing of this reminder to 9 pm ?	Not Found
I want meet to sanju please remind me	meet
Could u repeat the reminder details	details
